MeterNo,SIP End Date and time,V,V,V,A,A,A,Hz,kWh(I) Tot,kWh(E) Tot,kVArh(Lg)-Wh(I),kVArh(Ld)-Wh(E),kVArh(Lg)-Wh(E),kVArh(Ld)-Wh(I),kVAh-Wh(I),kVAh-Wh(E),kWh(I-E) Bi,,,DataStatus,Units
29559724,18-08-2025 07:00,252.05 V,250.19 V,250.91 V,0.688 A,1.03 A,0.658 A,49.973 Hz,0.296 kWh(I) Tot,0 kWh(E) Tot,0.037 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.299 kVAh-Wh(I),0 kVAh-Wh(E),0.296 kWh(I-E) Bi,0.99,1,1,2
29559724,18-08-2025 07:30,253.39 V,251.47 V,251.9 V,0.649 A,1.02 A,0.701 A,50.005 Hz,0.296 kWh(I) Tot,0 kWh(E) Tot,0.044 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.299 kVAh-Wh(I),0 kVAh-Wh(E),0.296 kWh(I-E) Bi,0.99,1,1,2
29559724,18-08-2025 08:00,254.59 V,252.72 V,253.39 V,0.59 A,0.984 A,0.67 A,50.037 Hz,0.282 kWh(I) Tot,0 kWh(E) Tot,0.043 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.285 kVAh-Wh(I),0 kVAh-Wh(E),0.282 kWh(I-E) Bi,0.989,1,1,2
29559724,18-08-2025 08:30,253.17 V,251.65 V,252.04 V,0.585 A,0.953 A,0.62 A,49.934 Hz,0.269 kWh(I) Tot,0 kWh(E) Tot,0.039 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.272 kVAh-Wh(I),0 kVAh-Wh(E),0.269 kWh(I-E) Bi,0.989,1,1,2
29559724,18-08-2025 09:00,250.4 V,249.32 V,249.16 V,0.554 A,0.897 A,0.616 A,50.042 Hz,0.256 kWh(I) Tot,0 kWh(E) Tot,0.036 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.258 kVAh-Wh(I),0 kVAh-Wh(E),0.256 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 09:30,244.63 V,243.32 V,243.35 V,0.585 A,1.018 A,0.585 A,50.021 Hz,0.265 kWh(I) Tot,0 kWh(E) Tot,0.031 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.267 kVAh-Wh(I),0 kVAh-Wh(E),0.265 kWh(I-E) Bi,0.993,1,1,2
29559724,18-08-2025 10:00,242.67 V,241.77 V,241.73 V,0.5 A,0.858 A,0.442 A,50.042 Hz,0.217 kWh(I) Tot,0 kWh(E) Tot,0.022 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.218 kVAh-Wh(I),0 kVAh-Wh(E),0.217 kWh(I-E) Bi,0.995,1,1,2
29559724,18-08-2025 10:30,242.92 V,242.33 V,242.11 V,0.517 A,0.86 A,0.438 A,50.024 Hz,0.219 kWh(I) Tot,0 kWh(E) Tot,0.025 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.22 kVAh-Wh(I),0 kVAh-Wh(E),0.219 kWh(I-E) Bi,0.995,1,1,2
29559724,18-08-2025 11:00,243.19 V,242.43 V,242.41 V,0.47 A,0.836 A,0.439 A,49.974 Hz,0.21 kWh(I) Tot,0 kWh(E) Tot,0.025 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.212 kVAh-Wh(I),0 kVAh-Wh(E),0.21 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 11:30,242.59 V,241.63 V,241.67 V,0.46 A,0.929 A,0.414 A,49.962 Hz,0.217 kWh(I) Tot,0 kWh(E) Tot,0.024 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.219 kVAh-Wh(I),0 kVAh-Wh(E),0.217 kWh(I-E) Bi,0.991,1,1,2
29559724,18-08-2025 12:00,242.94 V,242.18 V,242.22 V,0.467 A,0.87 A,0.448 A,49.959 Hz,0.215 kWh(I) Tot,0 kWh(E) Tot,0.023 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.216 kVAh-Wh(I),0 kVAh-Wh(E),0.215 kWh(I-E) Bi,0.995,1,1,2
29559724,18-08-2025 12:30,244.55 V,243.85 V,243.79 V,0.487 A,0.909 A,0.46 A,49.978 Hz,0.226 kWh(I) Tot,0 kWh(E) Tot,0.021 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.227 kVAh-Wh(I),0 kVAh-Wh(E),0.226 kWh(I-E) Bi,0.996,1,1,2
29559724,18-08-2025 13:00,246.43 V,245.25 V,245.42 V,0.464 A,0.942 A,0.502 A,49.988 Hz,0.233 kWh(I) Tot,0 kWh(E) Tot,0.024 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.234 kVAh-Wh(I),0 kVAh-Wh(E),0.233 kWh(I-E) Bi,0.996,1,1,2
29559724,18-08-2025 13:30,250.53 V,249.5 V,249.7 V,0.555 A,0.878 A,0.5 A,50.097 Hz,0.24 kWh(I) Tot,0 kWh(E) Tot,0.029 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.242 kVAh-Wh(I),0 kVAh-Wh(E),0.24 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 14:00,246.59 V,245.37 V,245.94 V,0.566 A,0.917 A,0.512 A,49.979 Hz,0.244 kWh(I) Tot,0 kWh(E) Tot,0.032 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.246 kVAh-Wh(I),0 kVAh-Wh(E),0.244 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 14:30,242.77 V,241.83 V,242.22 V,0.625 A,0.991 A,0.503 A,49.997 Hz,0.255 kWh(I) Tot,0 kWh(E) Tot,0.028 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.257 kVAh-Wh(I),0 kVAh-Wh(E),0.255 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 15:00,239.96 V,238.73 V,239.18 V,0.601 A,1.008 A,0.532 A,50.04 Hz,0.255 kWh(I) Tot,0 kWh(E) Tot,0.029 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.256 kVAh-Wh(I),0 kVAh-Wh(E),0.255 kWh(I-E) Bi,0.996,1,1,2
29559724,18-08-2025 15:30,239.92 V,238.53 V,239.67 V,0.588 A,1.07 A,0.539 A,50.095 Hz,0.072 kWh(I) Tot,0 kWh(E) Tot,0.008 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.073 kVAh-Wh(I),0 kVAh-Wh(E),0.072 kWh(I-E) Bi,0.986,1,1,2
29559724,18-08-2025 16:00,0 V,0 V,0 V,12:00 AM,12:00 AM,12:00 AM,0 Hz,0 kWh(I) Tot,0 kWh(E) Tot,0 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0 kVAh-Wh(I),0 kVAh-Wh(E),0 kWh(I-E) Bi,1,1,1,2
29559724,18-08-2025 16:30,240.67 V,238.81 V,240.86 V,0.793 A,1.311 A,0.7 A,49.939 Hz,0.321 kWh(I) Tot,0 kWh(E) Tot,0.058 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.325 kVAh-Wh(I),0 kVAh-Wh(E),0.321 kWh(I-E) Bi,0.988,1,1,2
29559724,18-08-2025 17:00,242.18 V,241.05 V,242.67 V,0.714 A,1.229 A,0.613 A,49.921 Hz,0.305 kWh(I) Tot,0 kWh(E) Tot,0.047 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.309 kVAh-Wh(I),0 kVAh-Wh(E),0.305 kWh(I-E) Bi,0.987,1,1,2
29559724,18-08-2025 17:30,243.6 V,242.58 V,243.86 V,0.643 A,1.076 A,0.503 A,49.912 Hz,0.267 kWh(I) Tot,0 kWh(E) Tot,0.04 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.271 kVAh-Wh(I),0 kVAh-Wh(E),0.267 kWh(I-E) Bi,0.985,1,1,2
29559724,18-08-2025 18:00,244.51 V,243.37 V,244.57 V,0.55 A,1.022 A,0.455 A,49.883 Hz,0.245 kWh(I) Tot,0 kWh(E) Tot,0.035 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.247 kVAh-Wh(I),0 kVAh-Wh(E),0.245 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 18:30,245.57 V,244.35 V,245.43 V,0.555 A,0.941 A,0.469 A,49.991 Hz,0.239 kWh(I) Tot,0 kWh(E) Tot,0.031 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.241 kVAh-Wh(I),0 kVAh-Wh(E),0.239 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 19:00,245.54 V,244.3 V,244.88 V,0.552 A,0.919 A,0.647 A,50.044 Hz,0.258 kWh(I) Tot,0 kWh(E) Tot,0.034 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.26 kVAh-Wh(I),0 kVAh-Wh(E),0.258 kWh(I-E) Bi,0.992,1,1,2
29559724,18-08-2025 19:30,242.66 V,240.95 V,241.8 V,0.64 A,0.969 A,0.734 A,50.008 Hz,0.281 kWh(I) Tot,0 kWh(E) Tot,0.03 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.283 kVAh-Wh(I),0 kVAh-Wh(E),0.281 kWh(I-E) Bi,0.993,1,1,2
29559724,18-08-2025 20:00,241.23 V,239.56 V,240.48 V,0.664 A,1.088 A,0.73 A,50.012 Hz,0.297 kWh(I) Tot,0 kWh(E) Tot,0.029 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.298 kVAh-Wh(I),0 kVAh-Wh(E),0.297 kWh(I-E) Bi,0.997,1,1,2
29559724,18-08-2025 20:30,242.11 V,240.46 V,241.52 V,0.836 A,1.096 A,0.701 A,50.043 Hz,0.317 kWh(I) Tot,0 kWh(E) Tot,0.031 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.318 kVAh-Wh(I),0 kVAh-Wh(E),0.317 kWh(I-E) Bi,0.997,1,1,2
29559724,18-08-2025 21:00,240.26 V,238.33 V,239.67 V,0.807 A,1.135 A,0.737 A,50.031 Hz,0.319 kWh(I) Tot,0 kWh(E) Tot,0.026 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.321 kVAh-Wh(I),0 kVAh-Wh(E),0.319 kWh(I-E) Bi,0.994,1,1,2
29559724,18-08-2025 21:30,238.04 V,235.82 V,237.57 V,0.786 A,1.298 A,0.717 A,49.987 Hz,0.331 kWh(I) Tot,0 kWh(E) Tot,0.025 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.332 kVAh-Wh(I),0 kVAh-Wh(E),0.331 kWh(I-E) Bi,0.997,1,1,2
29559724,18-08-2025 22:00,235.63 V,233.18 V,234.97 V,0.82 A,1.363 A,0.807 A,49.982 Hz,0.35 kWh(I) Tot,0 kWh(E) Tot,0.029 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.351 kVAh-Wh(I),0 kVAh-Wh(E),0.35 kWh(I-E) Bi,0.997,1,1,2
29559724,18-08-2025 22:30,233.19 V,229.82 V,231.98 V,0.907 A,1.389 A,0.974 A,49.997 Hz,0.377 kWh(I) Tot,0 kWh(E) Tot,0.03 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.378 kVAh-Wh(I),0 kVAh-Wh(E),0.377 kWh(I-E) Bi,0.997,1,1,2
29559724,18-08-2025 23:00,232.79 V,229.22 V,231.81 V,1.003 A,1.464 A,1.012 A,50.014 Hz,0.401 kWh(I) Tot,0 kWh(E) Tot,0.034 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.402 kVAh-Wh(I),0 kVAh-Wh(E),0.401 kWh(I-E) Bi,0.998,1,1,2
29559724,18-08-2025 23:30,234.69 V,230.75 V,233.75 V,0.9 A,1.598 A,1.042 A,49.999 Hz,0.41 kWh(I) Tot,0 kWh(E) Tot,0.038 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.412 kVAh-Wh(I),0 kVAh-Wh(E),0.41 kWh(I-E) Bi,0.995,1,1,2
29559724,19-08-2025 00:00,237.47 V,233.77 V,236.57 V,0.886 A,1.587 A,1.004 A,49.994 Hz,0.407 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.41 kVAh-Wh(I),0 kVAh-Wh(E),0.407 kWh(I-E) Bi,0.993,1,1,2
29559724,19-08-2025 00:30,240.82 V,237.28 V,240.22 V,0.849 A,1.533 A,0.858 A,49.996 Hz,0.385 kWh(I) Tot,0 kWh(E) Tot,0.046 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.387 kVAh-Wh(I),0 kVAh-Wh(E),0.385 kWh(I-E) Bi,0.995,1,1,2
29559724,19-08-2025 01:00,244.17 V,240.89 V,243.51 V,0.82 A,1.437 A,0.822 A,50.027 Hz,0.371 kWh(I) Tot,0 kWh(E) Tot,0.047 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.374 kVAh-Wh(I),0 kVAh-Wh(E),0.371 kWh(I-E) Bi,0.992,1,1,2
29559724,19-08-2025 01:30,244.81 V,241.91 V,244.22 V,0.78 A,1.387 A,0.816 A,49.954 Hz,0.36 kWh(I) Tot,0 kWh(E) Tot,0.045 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.363 kVAh-Wh(I),0 kVAh-Wh(E),0.36 kWh(I-E) Bi,0.992,1,1,2
29559724,19-08-2025 02:00,246.42 V,243.74 V,245.76 V,0.777 A,1.294 A,0.772 A,49.95 Hz,0.346 kWh(I) Tot,0 kWh(E) Tot,0.044 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.349 kVAh-Wh(I),0 kVAh-Wh(E),0.346 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 02:30,248.29 V,245.52 V,247.45 V,0.765 A,1.291 A,0.783 A,49.992 Hz,0.348 kWh(I) Tot,0 kWh(E) Tot,0.045 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.35 kVAh-Wh(I),0 kVAh-Wh(E),0.348 kWh(I-E) Bi,0.994,1,1,2
29559724,19-08-2025 03:00,249.01 V,246.46 V,248.25 V,0.793 A,1.271 A,0.795 A,49.987 Hz,0.351 kWh(I) Tot,0 kWh(E) Tot,0.045 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.355 kVAh-Wh(I),0 kVAh-Wh(E),0.351 kWh(I-E) Bi,0.989,1,1,2
29559724,19-08-2025 03:30,250.16 V,247.8 V,249.43 V,0.75 A,1.241 A,0.756 A,50.004 Hz,0.34 kWh(I) Tot,0 kWh(E) Tot,0.044 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.342 kVAh-Wh(I),0 kVAh-Wh(E),0.34 kWh(I-E) Bi,0.994,1,1,2
29559724,19-08-2025 04:00,249.58 V,247.18 V,248.81 V,0.715 A,1.247 A,0.758 A,49.996 Hz,0.335 kWh(I) Tot,0 kWh(E) Tot,0.045 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.338 kVAh-Wh(I),0 kVAh-Wh(E),0.335 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 04:30,250.54 V,248.08 V,249.77 V,0.717 A,1.207 A,0.724 A,49.989 Hz,0.327 kWh(I) Tot,0 kWh(E) Tot,0.045 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.33 kVAh-Wh(I),0 kVAh-Wh(E),0.327 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 05:00,250.76 V,248.15 V,249.86 V,0.688 A,1.2 A,0.706 A,49.994 Hz,0.321 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.324 kVAh-Wh(I),0 kVAh-Wh(E),0.321 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 05:30,251.57 V,248.96 V,250.57 V,0.661 A,1.204 A,0.685 A,50.037 Hz,0.316 kWh(I) Tot,0 kWh(E) Tot,0.044 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.319 kVAh-Wh(I),0 kVAh-Wh(E),0.316 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 06:00,250.1 V,247.93 V,249.42 V,0.712 A,1.163 A,0.684 A,50.016 Hz,0.316 kWh(I) Tot,0 kWh(E) Tot,0.041 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.319 kVAh-Wh(I),0 kVAh-Wh(E),0.316 kWh(I-E) Bi,0.991,1,1,2
29559724,19-08-2025 06:30,249.54 V,247.81 V,249.11 V,0.726 A,1.172 A,0.612 A,50.033 Hz,0.31 kWh(I) Tot,0 kWh(E) Tot,0.038 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.312 kVAh-Wh(I),0 kVAh-Wh(E),0.31 kWh(I-E) Bi,0.994,1,1,2
29559724,19-08-2025 07:00,250.19 V,248.38 V,249.57 V,0.71 A,1.121 A,0.618 A,50.021 Hz,0.303 kWh(I) Tot,0 kWh(E) Tot,0.041 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.306 kVAh-Wh(I),0 kVAh-Wh(E),0.303 kWh(I-E) Bi,0.99,1,1,2
29559724,19-08-2025 07:30,250.73 V,249.19 V,250.44 V,0.589 A,1.12 A,0.646 A,50.014 Hz,0.292 kWh(I) Tot,0 kWh(E) Tot,0.042 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.295 kVAh-Wh(I),0 kVAh-Wh(E),0.292 kWh(I-E) Bi,0.99,1,1,2
29559724,19-08-2025 08:00,251.5 V,250.53 V,251.4 V,0.687 A,0.962 A,0.637 A,50.064 Hz,0.284 kWh(I) Tot,0 kWh(E) Tot,0.039 kVArh(Lg)-Wh(I),0 kVArh(Ld)-Wh(E),0 kVArh(Lg)-Wh(E),0 kVArh(Ld)-Wh(I),0.287 kVAh-Wh(I),0 kVAh-Wh(E),0.284 kWh(I-E) Bi,0.99,1,1,2
